RF,ERS_section,Use_case,Requirement,API_evidence,UI_evidence,Automated_evidence,Status,Observation
RF11,3.2.12,CU012,Gestionar clientes,/api/customers/; /api/customers/<id>/,/app/customers,backend/customers/tests.py; frontend/src/app/pages/customers/customers.spec.ts,CUMPLE,CRUD operativo de clientes cubierto.
RF12,3.2.13,CU013,Gestionar inventario y existencias,/api/inventory/stocks/; /api/inventory/options/,/app/inventory,backend/inventory/tests.py; frontend/src/app/pages/inventory/inventory.spec.ts,CUMPLE,Stock por empresa/bodega integrado.
RF13,3.2.14,CU014,Registrar movimientos de inventario,/api/inventory/movements/; /api/inventory/transfers/,/app/inventory,backend/inventory/tests.py; frontend/src/app/pages/inventory/inventory.spec.ts,CUMPLE,Movimientos y transferencias con trazabilidad.
RF14,3.2.15-3.2.16,CU015/CU016,Registrar pedidos y gestionar su estado,"/api/orders/; /api/orders/<id>/{confirm,prepare,deliver,cancel}/",/app/orders; /portal,backend/orders/tests.py; frontend/src/app/pages/orders/orders.spec.ts; frontend/src/app/pages/portal/portal.spec.ts,CUMPLE,Pedido y transiciones explícitas probadas.
RF15,3.2.17,CU017,Registrar y consultar ventas,/api/sales/; /api/sales/<id>/payments/; /api/sales/<id>/cancel/,/app/sales,backend/sales/tests.py; frontend/src/app/pages/sales/sales.spec.ts,CUMPLE,"Venta, pagos, cancelación e idempotencia cubiertos."
RF16,3.2.18-3.2.19,CU018/CU019,"Consultar tiendas, catálogo y detalle de productos",/api/portal/stores/; /api/portal/stores/<company>/catalog/; /api/portal/stores/<company>/products/<id>/,/portal,backend/portal/tests.py; frontend/src/app/pages/portal/portal.spec.ts,CUMPLE,"Portal cubre tienda, catálogo y detalle dedicado."
RF17,3.2.21,CU021,Consultar estado e historial de pedidos,/api/portal/account/; /api/portal/orders/; /api/portal/orders/<id>/,/portal/account,backend/portal/tests.py; frontend/src/app/pages/portal-account/portal-account.spec.ts,CUMPLE,Historial y detalle de pedido con evidencia Angular.
RF18,3.2.20,CU020,Integrar proceso de pago con servicio externo,/api/portal/payments/orders/<id>/mercado-pago/*,/portal; /portal/payment-result,backend/external_payments/tests.py; frontend/src/app/core/portal/portal.service.spec.ts,CUMPLE_EN_CODIGO,Mercado Pago integrado; E2E externo reservado para integración final.
RF19,3.2.24,CU024,Enviar notificaciones por correo electrónico,transactional_notifications,eventos de pedidos/pagos,backend/transactional_notifications/tests.py,CUMPLE_EN_CODIGO,SMTP real reservado para integración final.
RF20,3.2.22,CU022,Generar reportes de ventas,"/api/reports/sales/; /api/reports/sales/export/{pdf,xls}/",/app/reports,backend/reports/tests.py; frontend/src/app/pages/reports/reports.spec.ts,CUMPLE,Reportes de ventas y exportaciones probados.
RF21,3.2.23,CU023,Generar reportes de inventario,"/api/reports/inventory/; /api/reports/inventory/export/{pdf,xls}/",/app/reports,backend/reports/tests.py; frontend/src/app/pages/reports/reports.spec.ts,CUMPLE,Reportes de inventario y exportaciones probados.
RF22,3.2.25,CU025,Autenticar usuarios,/api/auth/csrf/; /api/auth/login/; /api/auth/me/; /api/auth/logout/,/login; login de maintainers,backend/accounts/tests.py; frontend/src/app/pages/login/login.spec.ts; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Ambos frontends autentican contra la misma sesión Django.
RF23,3.2.25,CU025,Gestionar sesión segura,/api/auth/me/; /api/auth/logout/,/app/*; maintainers,backend/accounts/tests.py; frontend/src/app/app.routes.spec.ts; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,Sesión y contexto de membresía compartidos por backend.
RF24,3.2.26,CU001-CU011,Administrar mantenedores mediante aplicación secundaria,/api/administration/*; /api/catalog/*; /api/organizations/warehouses/,proyecto Angular maintainers: projects/maintainers/src; npm run start:maintainers; puerto 4300,backend/administration/tests.py; frontend/projects/maintainers/src/app/api.service.spec.ts; frontend/projects/maintainers/src/app/app.spec.ts; builds frontend y maintainers,CUMPLE,"Segunda aplicación ejecutable con entrada, sourceRoot, tests, serve y bundle propios, conectada al mismo backend."
RF25,3.2.11,CU011,Configurar parámetros generales del sistema,/api/administration/settings/,maintainers: Parámetros,backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE_CON_DECISION_SEGURIDAD,Parámetros no secretos administrables; credenciales y secretos permanecen fuera del dominio/repositorio.
RF26,3.2.25,CU025,Restringir funcionalidades según rol/permisos,autorización transversal + contexto de membresía,/app/*; maintainers,backend/organizations/tests.py; backend/administration/tests.py; frontend/projects/maintainers/src/app/app.spec.ts,CUMPLE,RBAC y aislamiento por empresa se mantienen en backend para ambos frontends.
